Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1994,9.01,0.43,2.65,1.51,3.83,4.60,7.66,6.14,5.98,5.10,0.70,1.28,48.89
1995,3.08,1.07,6.14,5.18,2.47,7.55,7.66,7.20,2.10,4.33,3.15,1.29,51.22
1996,2.24,0.77,11.13,2.74,2.01,6.15,11.10,4.78,2.43,5.32,1.51,4.47,54.65
1997,2.00,1.07,2.39,7.42,3.21,8.99,7.09,3.78,2.51,6.10,4.06,9.60,58.22
1998,3.70,11.58,3.15,0.08,0.94,2.81,7.10,7.57,7.44,0.16,0.24,0.85,45.62
1999,5.48,1.92,0.61,1.66,1.58,6.76,3.43,7.10,4.62,1.84,2.20,1.14,38.34
2000,3.19,0.65,2.14,1.12,0.51,6.12,5.40,3.73,8.46,0.92,1.51,0.60,34.35
2001,0.80,0.89,6.45,1.00,1.38,10.79,8.12,2.81,8.18,0.08,0.57,1.07,42.14
2002,4.03,1.02,1.74,0.74,2.67,7.34,10.99,6.87,6.82,2.65,3.95,6.51,55.33
2003,0.40,5.27,8.70,1.10,1.86,8.52,5.21,4.15,5.59,2.60,2.75,0.47,46.62
2004,1.58,5.53,2.00,1.11,0.46,7.06,3.99,14.32,16.45,2.61,1.99,1.27,58.37
2005,1.41,1.82,4.60,5.41,4.13,8.10,4.89,7.43,1.20,3.43,1.21,6.35,49.98
2006,3.43,5.08,0.32,3.50,0.63,4.79,5.51,2.77,3.11,2.58,0.94,2.77,35.43
2007,4.00,3.19,1.68,0.70,0.77,6.89,8.92,6.63,3.42,7.01,0.84,2.04,46.09
2008,3.79,3.15,4.36,1.05,0.62,5.30,5.61,9.22,0.53,3.66,1.54,0.89,39.72
2009,3.49,2.09,3.97,2.70,8.23,3.66,6.73,6.78,2.84,1.43,2.26,2.72,46.90
2010,4.54,3.87,3.25,2.99,3.08,8.99,5.45,4.90,1.35,0.00,0.56,0.69,39.67
2011,3.68,3.59,3.04,1.17,2.63,5.78,3.50,3.29,1.86,2.73,1.62,0.49,33.38
2012,85.00,1.06,3.36,0.91,6.90,16.34,2.74,9.95,6.26,0.89,0.05,6.93,56.24
2013,0.33,1.64,0.98,3.48,4.57,6.25,16.65,2.80,3.20,0.08,3.31,3.80,47.09
2014,5.20,4.37,5.50,2.63,2.84,4.52,6.80,5.21,7.28,1.55,2.47,3.38,51.75
2015,3.24,2.02,1.17,3.22,2.54,3.61,8.09,11.48,6.07,1.02,2.75,1.97,47.18
2016,2.73,4.12,2.35,1.66,4.08,9.99,1.49,3.30,7.97,1.65,0.02,2.69,42.05
2017,1.45,0.39,0.67,2.74,4.45,16.86,16.70,5.79,15.28,1.57,2.76,2.65,71.31
